Size,formula,normalized,normalizedSize
3,(v || r),((v --> ⊥) --> r),5
3,(q <-> t),(((q --> t) --> ((t --> q) --> ⊥)) --> ⊥),11
3,(z <-> u),(((z --> u) --> ((u --> z) --> ⊥)) --> ⊥),11
3,Box(Box(z)),Box(Box(z)),3
3,Box(!(q)),Box((q --> ⊥)),4
3,(p <-> ⊥),(((p --> ⊥) --> ((⊥ --> p) --> ⊥)) --> ⊥),11
3,(v <-> u),(((v --> u) --> ((u --> v) --> ⊥)) --> ⊥),11
3,(z <-> x),(((z --> x) --> ((x --> z) --> ⊥)) --> ⊥),11
3,(z <-> ⊥),(((z --> ⊥) --> ((⊥ --> z) --> ⊥)) --> ⊥),11
3,(q <-> t),(((q --> t) --> ((t --> q) --> ⊥)) --> ⊥),11
3,(t <-> q),(((t --> q) --> ((q --> t) --> ⊥)) --> ⊥),11
3,(x <-> t),(((x --> t) --> ((t --> x) --> ⊥)) --> ⊥),11
3,(v <-> s),(((v --> s) --> ((s --> v) --> ⊥)) --> ⊥),11
3,(z <-> q),(((z --> q) --> ((q --> z) --> ⊥)) --> ⊥),11
3,(r <-> y),(((r --> y) --> ((y --> r) --> ⊥)) --> ⊥),11
3,(w <-> s),(((w --> s) --> ((s --> w) --> ⊥)) --> ⊥),11
3,!(Diamond(s)),((Box((s --> ⊥)) --> ⊥) --> ⊥),8
3,(z <-> v),(((z --> v) --> ((v --> z) --> ⊥)) --> ⊥),11
3,(v <-> u),(((v --> u) --> ((u --> v) --> ⊥)) --> ⊥),11
3,(y <-> v),(((y --> v) --> ((v --> y) --> ⊥)) --> ⊥),11
3,(w <-> ⊥),(((w --> ⊥) --> ((⊥ --> w) --> ⊥)) --> ⊥),11
3,!(Diamond(q)),((Box((q --> ⊥)) --> ⊥) --> ⊥),8
3,(y || ⊥),((y --> ⊥) --> ⊥),5
3,(v <-> ⊥),(((v --> ⊥) --> ((⊥ --> v) --> ⊥)) --> ⊥),11
3,(w && w),((w --> (w --> ⊥)) --> ⊥),7
3,Box(Box(⊥)),Box(Box(⊥)),3
3,!(Diamond(z)),((Box((z --> ⊥)) --> ⊥) --> ⊥),8
3,(w || u),((w --> ⊥) --> u),5
3,(⊥ && u),((⊥ --> (u --> ⊥)) --> ⊥),7
3,(s && x),((s --> (x --> ⊥)) --> ⊥),7
3,(⊥ && v),((⊥ --> (v --> ⊥)) --> ⊥),7
3,(t && ⊥),((t --> (⊥ --> ⊥)) --> ⊥),7
3,(⊥ && u),((⊥ --> (u --> ⊥)) --> ⊥),7
3,(⊥ && p),((⊥ --> (p --> ⊥)) --> ⊥),7
3,(p && r),((p --> (r --> ⊥)) --> ⊥),7
3,(y && p),((y --> (p --> ⊥)) --> ⊥),7
3,Box(!(t)),Box((t --> ⊥)),4
3,(⊥ && ⊥),((⊥ --> (⊥ --> ⊥)) --> ⊥),7
3,(x && r),((x --> (r --> ⊥)) --> ⊥),7
3,Box(Box(r)),Box(Box(r)),3
3,(v && y),((v --> (y --> ⊥)) --> ⊥),7
3,Box(Diamond(w)),Box((Box((w --> ⊥)) --> ⊥)),7
