Size,formula,normalized,normalizedSize
3,(⊥ <-> x),(((⊥ --> x) --> ((x --> ⊥) --> ⊥)) --> ⊥),11
3,!(Diamond(⊥)),((Box((⊥ --> ⊥)) --> ⊥) --> ⊥),8
3,Box(!(⊥)),Box((⊥ --> ⊥)),4
3,(⊥ --> v),(⊥ --> v),3
3,(⊥ --> p),(⊥ --> p),3
3,(s --> s),(s --> s),3
3,(q --> q),(q --> q),3
4,(Diamond(⊥) <-> w),((((Box((⊥ --> ⊥)) --> ⊥) --> w) --> ((w --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),21
4,(⊥ <-> Diamond(u)),(((⊥ --> (Box((u --> ⊥)) --> ⊥)) --> (((Box((u --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),21
4,(⊥ <-> Diamond(u)),(((⊥ --> (Box((u --> ⊥)) --> ⊥)) --> (((Box((u --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),21
4,(⊥ <-> !(v)),(((⊥ --> (v --> ⊥)) --> (((v --> ⊥) --> ⊥) --> ⊥)) --> ⊥),15
4,Box((x <-> x)),Box((((x --> x) --> ((x --> x) --> ⊥)) --> ⊥)),12
4,(⊥ <-> !(⊥)),(((⊥ --> (⊥ --> ⊥)) --> (((⊥ --> ⊥) --> ⊥) --> ⊥)) --> ⊥),15
4,(⊥ || !(⊥)),((⊥ --> ⊥) --> (⊥ --> ⊥)),7
4,!((p && ⊥)),(((p --> (⊥ --> ⊥)) --> ⊥) --> ⊥),9
4,(Diamond(⊥) --> t),((Box((⊥ --> ⊥)) --> ⊥) --> t),8
4,(!(v) || v),(((v --> ⊥) --> ⊥) --> v),7
4,!((⊥ || s)),(((⊥ --> ⊥) --> s) --> ⊥),7
4,(r || !(⊥)),((r --> ⊥) --> (⊥ --> ⊥)),7
4,(z --> !(⊥)),(z --> (⊥ --> ⊥)),5
4,(s --> !(⊥)),(s --> (⊥ --> ⊥)),5
4,(y --> !(⊥)),(y --> (⊥ --> ⊥)),5
4,(⊥ --> !(z)),(⊥ --> (z --> ⊥)),5
5,(⊥ <-> Diamond(!(p))),(((⊥ --> (Box(((p --> ⊥) --> ⊥)) --> ⊥)) --> (((Box(((p --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),25
5,((⊥ && v) <-> r),(((((⊥ --> (v --> ⊥)) --> ⊥) --> r) --> ((r --> ((⊥ --> (v --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),23
5,(⊥ <-> Diamond(Box(y))),(((⊥ --> (Box((Box(y) --> ⊥)) --> ⊥)) --> (((Box((Box(y) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),23
5,((⊥ <-> q) && s),(((((⊥ --> q) --> ((q --> ⊥) --> ⊥)) --> ⊥) --> (s --> ⊥)) --> ⊥),17
5,(x || (x <-> ⊥)),((x --> ⊥) --> (((x --> ⊥) --> ((⊥ --> x) --> ⊥)) --> ⊥)),15
5,(r || (⊥ <-> y)),((r --> ⊥) --> (((⊥ --> y) --> ((y --> ⊥) --> ⊥)) --> ⊥)),15
5,(p || !(Diamond(⊥))),((p --> ⊥) --> ((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)),12
5,(!(⊥) || Diamond(q)),(((⊥ --> ⊥) --> ⊥) --> (Box((q --> ⊥)) --> ⊥)),12
5,(p --> Box(!(⊥))),(p --> Box((⊥ --> ⊥))),6
5,!((!(⊥) --> u)),(((⊥ --> ⊥) --> u) --> ⊥),7
5,(s --> (⊥ --> r)),(s --> (⊥ --> r)),5
6,Box((v <-> !(Diamond(x)))),Box((((v --> ((Box((x --> ⊥)) --> ⊥) --> ⊥)) --> ((((Box((x --> ⊥)) --> ⊥) --> ⊥) --> v) --> ⊥)) --> ⊥)),26
6,(Diamond(⊥) <-> (q && w)),((((Box((⊥ --> ⊥)) --> ⊥) --> ((q --> (w --> ⊥)) --> ⊥)) --> ((((q --> (w --> ⊥)) --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),33
6,(Diamond(⊥) <-> (y && w)),((((Box((⊥ --> ⊥)) --> ⊥) --> ((y --> (w --> ⊥)) --> ⊥)) --> ((((y --> (w --> ⊥)) --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),33
6,(Diamond(⊥) <-> (p && r)),((((Box((⊥ --> ⊥)) --> ⊥) --> ((p --> (r --> ⊥)) --> ⊥)) --> ((((p --> (r --> ⊥)) --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),33
6,(Box(⊥) <-> Box(Diamond(s))),(((Box(⊥) --> Box((Box((s --> ⊥)) --> ⊥))) --> ((Box((Box((s --> ⊥)) --> ⊥)) --> Box(⊥)) --> ⊥)) --> ⊥),25
6,((!(⊥) --> ⊥) <-> x),(((((⊥ --> ⊥) --> ⊥) --> x) --> ((x --> ((⊥ --> ⊥) --> ⊥)) --> ⊥)) --> ⊥),19
6,(Diamond(⊥) --> (t && s)),((Box((⊥ --> ⊥)) --> ⊥) --> ((t --> (s --> ⊥)) --> ⊥)),14
6,((s --> r) <-> !(⊥)),((((s --> r) --> (⊥ --> ⊥)) --> (((⊥ --> ⊥) --> (s --> r)) --> ⊥)) --> ⊥),19
6,(Diamond(q) --> (p <-> p)),((Box((q --> ⊥)) --> ⊥) --> (((p --> p) --> ((p --> p) --> ⊥)) --> ⊥)),18
6,(⊥ <-> Box((r <-> ⊥))),(((⊥ --> Box((((r --> ⊥) --> ((⊥ --> r) --> ⊥)) --> ⊥))) --> ((Box((((r --> ⊥) --> ((⊥ --> r) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),33
6,!((!(Box(v)) && ⊥)),((((Box(v) --> ⊥) --> (⊥ --> ⊥)) --> ⊥) --> ⊥),12
6,!(Diamond((⊥ || Box(x)))),((Box((((⊥ --> ⊥) --> Box(x)) --> ⊥)) --> ⊥) --> ⊥),13
6,(u --> !((z && ⊥))),(u --> (((z --> (⊥ --> ⊥)) --> ⊥) --> ⊥)),11
6,((z <-> ⊥) --> !(⊥)),((((z --> ⊥) --> ((⊥ --> z) --> ⊥)) --> ⊥) --> (⊥ --> ⊥)),15
6,(Box(⊥) --> Box(Box(r))),(Box(⊥) --> Box(Box(r))),6
6,(Box(Box(t)) || !(⊥)),((Box(Box(t)) --> ⊥) --> (⊥ --> ⊥)),9
6,(⊥ --> (⊥ --> Diamond(r))),(⊥ --> (⊥ --> (Box((r --> ⊥)) --> ⊥))),10
6,(⊥ --> Box((z --> y))),(⊥ --> Box((z --> y))),6
6,(⊥ --> (z || Diamond(⊥))),(⊥ --> ((z --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥))),12
7,Box(((Diamond(w) || w) <-> u)),Box(((((((Box((w --> ⊥)) --> ⊥) --> ⊥) --> w) --> u) --> ((u --> (((Box((w --> ⊥)) --> ⊥) --> ⊥) --> w)) --> ⊥)) --> ⊥)),30
7,(Box(Diamond(!(v))) <-> Box(z)),(((Box((Box(((v --> ⊥) --> ⊥)) --> ⊥)) --> Box(z)) --> ((Box(z) --> Box((Box(((v --> ⊥) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥),29
7,((⊥ <-> z) && (⊥ <-> y)),(((((⊥ --> z) --> ((z --> ⊥) --> ⊥)) --> ⊥) --> ((((⊥ --> y) --> ((y --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),27
7,((⊥ && (⊥ <-> s)) <-> ⊥),(((((⊥ --> ((((⊥ --> s) --> ((s --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> ((⊥ --> ((((⊥ --> s) --> ((s --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),43
7,!(!((!(Diamond(⊥)) || u))),((((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> u) --> ⊥) --> ⊥),16
7,(Box(u) || (!(⊥) && v)),((Box(u) --> ⊥) --> (((⊥ --> ⊥) --> (v --> ⊥)) --> ⊥)),14
7,(!((⊥ || r)) && Diamond(⊥)),(((((⊥ --> ⊥) --> r) --> ⊥) --> ((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),18
7,!((Diamond((z --> z)) && ⊥)),((((Box(((z --> z) --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥) --> ⊥),16
7,((⊥ && Diamond(⊥)) --> Diamond(⊥)),(((⊥ --> ((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)),19
7,(Box(!(⊥)) && Box(!(s))),((Box((⊥ --> ⊥)) --> (Box((s --> ⊥)) --> ⊥)) --> ⊥),13
7,((u || s) --> (⊥ --> u)),(((u --> ⊥) --> s) --> (⊥ --> u)),9
7,(Diamond(Box(x)) --> (⊥ --> q)),((Box((Box(x) --> ⊥)) --> ⊥) --> (⊥ --> q)),11
7,(⊥ --> ((v || ⊥) && z)),(⊥ --> ((((v --> ⊥) --> ⊥) --> (z --> ⊥)) --> ⊥)),13
7,(⊥ --> !(!((z || ⊥)))),(⊥ --> ((((z --> ⊥) --> ⊥) --> ⊥) --> ⊥)),11
8,(Diamond(z) <-> ((⊥ <-> y) && ⊥)),((((Box((z --> ⊥)) --> ⊥) --> (((((⊥ --> y) --> ((y --> ⊥) --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥)) --> (((((((⊥ --> y) --> ((y --> ⊥) --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥) --> (Box((z --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),53
8,(Diamond((!(⊥) && Diamond(r))) <-> ⊥),((((Box(((((⊥ --> ⊥) --> ((Box((r --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> (Box(((((⊥ --> ⊥) --> ((Box((r --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),47
8,((⊥ && (w && v)) <-> Diamond(r)),(((((⊥ --> (((w --> (v --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (Box((r --> ⊥)) --> ⊥)) --> (((Box((r --> ⊥)) --> ⊥) --> ((⊥ --> (((w --> (v --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),45
8,(((u || !(y)) <-> ⊥) || u),(((((((u --> ⊥) --> (y --> ⊥)) --> ⊥) --> ((⊥ --> ((u --> ⊥) --> (y --> ⊥))) --> ⊥)) --> ⊥) --> ⊥) --> u),27
8,((⊥ <-> t) || !((w && r))),(((((⊥ --> t) --> ((t --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> (((w --> (r --> ⊥)) --> ⊥) --> ⊥)),23
8,((u && ⊥) <-> Box(!(Box(z)))),(((((u --> (⊥ --> ⊥)) --> ⊥) --> Box((Box(z) --> ⊥))) --> ((Box((Box(z) --> ⊥)) --> ((u --> (⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),31
8,(!(Box(Box(Box(⊥)))) <-> !(⊥)),((((Box(Box(Box(⊥))) --> ⊥) --> (⊥ --> ⊥)) --> (((⊥ --> ⊥) --> (Box(Box(Box(⊥))) --> ⊥)) --> ⊥)) --> ⊥),25
8,((v || Box(⊥)) --> (⊥ <-> u)),(((v --> ⊥) --> Box(⊥)) --> (((⊥ --> u) --> ((u --> ⊥) --> ⊥)) --> ⊥)),18
8,((Diamond(v) && ⊥) --> (⊥ && y)),((((Box((v --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥) --> ((⊥ --> (y --> ⊥)) --> ⊥)),20
8,(Diamond((⊥ || (v --> s))) --> ⊥),((Box((((⊥ --> ⊥) --> (v --> s)) --> ⊥)) --> ⊥) --> ⊥),14
8,(((Box(p) && r) --> r) || u),(((((Box(p) --> (r --> ⊥)) --> ⊥) --> r) --> ⊥) --> u),14
8,(!(⊥) || !((w && Diamond(s)))),(((⊥ --> ⊥) --> ⊥) --> (((w --> ((Box((s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)),20
8,(!((Box(w) --> z)) --> !(⊥)),(((Box(w) --> z) --> ⊥) --> (⊥ --> ⊥)),10
9,((Box(p) <-> !(⊥)) <-> (w <-> x)),((((((Box(p) --> (⊥ --> ⊥)) --> (((⊥ --> ⊥) --> Box(p)) --> ⊥)) --> ⊥) --> (((w --> x) --> ((x --> w) --> ⊥)) --> ⊥)) --> (((((w --> x) --> ((x --> w) --> ⊥)) --> ⊥) --> (((Box(p) --> (⊥ --> ⊥)) --> (((⊥ --> ⊥) --> Box(p)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),63
9,!((Box(t) <-> (p || (⊥ <-> s)))),((((Box(t) --> ((p --> ⊥) --> (((⊥ --> s) --> ((s --> ⊥) --> ⊥)) --> ⊥))) --> ((((p --> ⊥) --> (((⊥ --> s) --> ((s --> ⊥) --> ⊥)) --> ⊥)) --> Box(t)) --> ⊥)) --> ⊥) --> ⊥),43
9,(⊥ || ((u <-> (⊥ <-> z)) && r)),((⊥ --> ⊥) --> (((((u --> (((⊥ --> z) --> ((z --> ⊥) --> ⊥)) --> ⊥)) --> (((((⊥ --> z) --> ((z --> ⊥) --> ⊥)) --> ⊥) --> u) --> ⊥)) --> ⊥) --> (r --> ⊥)) --> ⊥)),41
9,!((Box(!(⊥)) <-> (Diamond(z) && ⊥))),((((Box((⊥ --> ⊥)) --> (((Box((z --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥)) --> (((((Box((z --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥) --> Box((⊥ --> ⊥))) --> ⊥)) --> ⊥) --> ⊥),41
9,(((Box(x) && z) && Diamond(⊥)) <-> z),(((((((Box(x) --> (z --> ⊥)) --> ⊥) --> ((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> z) --> ((z --> ((((Box(x) --> (z --> ⊥)) --> ⊥) --> ((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),47
9,(Diamond(⊥) <-> Box(Box((!(⊥) <-> ⊥)))),((((Box((⊥ --> ⊥)) --> ⊥) --> Box(Box(((((⊥ --> ⊥) --> ⊥) --> ((⊥ --> (⊥ --> ⊥)) --> ⊥)) --> ⊥)))) --> ((Box(Box(((((⊥ --> ⊥) --> ⊥) --> ((⊥ --> (⊥ --> ⊥)) --> ⊥)) --> ⊥))) --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),53
9,!(Diamond((!(⊥) --> (Box(⊥) <-> ⊥)))),((Box((((⊥ --> ⊥) --> (((Box(⊥) --> ⊥) --> ((⊥ --> Box(⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),24
9,(((Box(⊥) --> r) && Box(⊥)) <-> v),((((((Box(⊥) --> r) --> (Box(⊥) --> ⊥)) --> ⊥) --> v) --> ((v --> (((Box(⊥) --> r) --> (Box(⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),31
9,Box((w || (⊥ <-> !((q || z))))),Box(((w --> ⊥) --> (((⊥ --> (((q --> ⊥) --> z) --> ⊥)) --> (((((q --> ⊥) --> z) --> ⊥) --> ⊥) --> ⊥)) --> ⊥))),28
9,(⊥ <-> (Box(Diamond((u <-> p))) && ⊥)),(((⊥ --> ((Box((Box(((((u --> p) --> ((p --> u) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> (⊥ --> ⊥)) --> ⊥)) --> ((((Box((Box(((((u --> p) --> ((p --> u) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> (⊥ --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),55
9,(!(⊥) <-> (Box(⊥) --> Box(!(t)))),((((⊥ --> ⊥) --> (Box(⊥) --> Box((t --> ⊥)))) --> (((Box(⊥) --> Box((t --> ⊥))) --> (⊥ --> ⊥)) --> ⊥)) --> ⊥),27
9,Box(((!(⊥) && ⊥) && (⊥ || s))),Box((((((⊥ --> ⊥) --> (⊥ --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> s) --> ⊥)) --> ⊥)),20
9,Box(!((Box(!(!(p))) --> !(⊥)))),Box(((Box(((p --> ⊥) --> ⊥)) --> (⊥ --> ⊥)) --> ⊥)),13
9,((r --> !(⊥)) && !(Diamond(!(⊥)))),(((r --> (⊥ --> ⊥)) --> (((Box(((⊥ --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),20
9,((Diamond(x) || !(⊥)) && (⊥ && r)),(((((Box((x --> ⊥)) --> ⊥) --> ⊥) --> (⊥ --> ⊥)) --> (((⊥ --> (r --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),24
9,((Box(⊥) --> (Diamond(r) --> q)) || r),(((Box(⊥) --> ((Box((r --> ⊥)) --> ⊥) --> q)) --> ⊥) --> r),15
9,(Diamond(⊥) --> (s --> (!(x) --> ⊥))),((Box((⊥ --> ⊥)) --> ⊥) --> (s --> ((x --> ⊥) --> ⊥))),14
